# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Tue, 19 Jan 2021 23:00:04 +0100
#
# IP	number of (black)lists
#
171.25.193.78	10
171.25.193.20	10
222.187.238.97	9
171.25.193.77	9
185.220.102.253	9
185.220.102.249	8
185.56.80.65	8
62.102.148.69	8
62.102.148.68	8
185.220.101.9	8
185.220.102.4	8
77.247.181.162	8
80.67.172.162	8
107.189.10.27	7
80.82.77.33	7
31.220.1.233	7
185.220.102.244	7
185.220.102.245	7
185.220.102.248	7
217.182.192.217	7
178.20.55.16	7
185.220.100.253	7
185.220.100.252	7
185.220.100.254	7
192.42.116.16	7
141.98.80.29	7
185.220.101.215	7
51.178.52.245	7
174.138.12.116	7
185.220.101.193	7
162.247.74.27	7
178.73.215.171	7
176.10.104.240	7
51.77.135.89	7
51.75.144.43	7
104.244.76.13	7
185.220.102.250	7
54.39.16.73	7
185.220.100.247	7
185.220.101.17	7
185.220.100.241	7
198.98.48.77	7
185.220.102.246	7
89.234.157.254	7
185.191.124.151	7
91.192.103.10	7
167.88.7.134	7
80.82.77.139	7
185.220.101.24	7
185.220.101.22	7
193.218.118.235	7
93.174.95.106	7
176.10.99.200	7
198.144.120.177	7
45.155.205.86	7
45.155.205.87	7
91.192.103.24	7
185.220.101.194	7
5.199.130.188	7
149.202.238.204	7
51.79.69.241	7
45.10.55.243	7
185.220.101.207	7
62.210.105.116	7
129.204.203.218	6
128.31.0.13	6
42.194.169.32	6
185.239.242.104	6
185.220.102.247	6
185.220.102.240	6
185.220.102.243	6
162.247.74.74	6
95.71.125.50	6
139.162.247.102	6
61.95.233.61	6
91.192.103.33	6
174.138.8.171	6
185.107.47.171	6
62.210.185.4	6
82.65.117.46	6
167.172.169.44	6
101.69.200.162	6
94.230.208.147	6
31.220.0.186	6
162.247.72.199	6
221.181.185.143	6
192.160.102.170	6
51.91.122.101	6
185.220.100.255	6
185.107.70.202	6
200.150.114.227	6
198.144.120.234	6
167.172.169.97	6
185.220.101.212	6
107.173.159.74	6
46.148.20.25	6
218.89.222.16	6
185.130.44.108	6
167.86.94.107	6
178.165.72.177	6
45.148.10.54	6
159.65.152.148	6
104.244.72.168	6
68.183.217.211	6
167.71.56.93	6
223.247.33.150	6
89.248.167.131	6
45.55.55.92	6
185.129.62.62	6
167.172.161.10	6
185.220.100.245	6
185.220.100.242	6
185.220.100.249	6
185.220.101.12	6
74.82.47.194	6
159.203.165.156	6
221.131.165.119	6
81.161.63.100	6
107.189.10.251	6
195.206.105.217	6
123.58.109.42	6
104.248.29.6	6
31.220.3.99	6
37.46.150.195	6
157.230.120.201	6
159.89.236.71	6
165.22.26.88	6
192.241.246.167	6
81.161.63.103	6
84.53.192.243	6
221.181.185.18	6
45.15.143.198	6
117.141.253.80	6
185.191.124.153	6
185.191.124.150	6
91.192.103.11	6
91.192.103.17	6
170.79.87.178	6
162.243.15.192	6
141.98.80.85	6
185.220.101.8	6
185.220.101.4	6
185.220.101.3	6
185.220.101.1	6
18.27.197.252	6
167.172.161.171	6
62.210.37.82	6
185.220.101.2	6
68.183.77.225	6
159.89.38.228	6
81.161.63.252	6
81.161.63.253	6
152.136.204.182	6
185.165.168.229	6
185.220.101.21	6
109.201.133.100	6
125.19.153.156	6
111.93.235.74	6
221.181.185.220	6
221.181.185.223	6
221.181.185.29	6
185.220.101.16	6
185.220.101.13	6
77.247.181.165	6
77.247.181.163	6
46.101.40.21	6
213.61.215.54	6
139.59.70.21	6
185.247.224.14	6
107.189.10.246	6
171.25.193.25	6
159.89.110.115	6
199.19.225.16	6
138.197.179.100	6
196.35.41.109	6
112.122.5.6	6
80.82.70.118	6
185.220.102.251	6
185.100.86.182	6
23.94.186.31	6
46.249.59.113	6
95.211.230.211	6
165.22.113.66	6
91.192.103.25	6
91.192.103.27	6
185.220.101.197	6
95.128.43.164	6
87.118.116.103	6
185.220.101.202	6
118.193.35.182	6
185.142.236.34	6
159.89.30.109	6
185.220.102.252	6
106.54.71.95	6
185.220.101.206	6
185.220.101.205	6
185.220.101.204	6
185.100.87.207	6
149.202.206.206	5
152.136.111.240	5
162.243.232.174	5
92.62.131.106	5
23.129.64.225	5
91.121.108.159	5
2.45.191.223	5
81.69.249.56	5
129.28.165.213	5
45.154.255.69	5
31.220.3.147	5
31.220.3.148	5
31.220.0.203	5
128.199.146.98	5
107.189.10.237	5
125.26.15.28	5
185.239.242.109	5
51.77.140.110	5
103.28.135.148	5
212.129.152.27	5
145.239.116.202	5
185.220.101.134	5
50.254.136.133	5
104.236.72.182	5
118.25.27.67	5
185.234.218.36	5
185.213.155.169	5
51.75.64.18	5
71.6.199.23	5
139.59.248.103	5
81.70.154.62	5
115.238.97.2	5
80.87.39.94	5
51.79.53.134	5
104.236.5.5	5
185.100.87.240	5
112.220.17.35	5
92.246.84.133	5
120.92.139.183	5
115.159.213.195	5
185.107.47.215	5
103.29.184.251	5
81.69.177.174	5
104.248.136.163	5
140.238.14.170	5
54.38.81.231	5
201.111.106.35	5
151.80.144.233	5
174.138.16.99	5
117.131.43.197	5
42.192.141.160	5
185.220.102.241	5
185.220.102.242	5
159.89.51.183	5
87.251.77.206	5
103.75.34.219	5
111.177.22.4	5
106.12.144.189	5
164.68.112.178	5
115.238.62.154	5
185.59.139.99	5
188.166.185.112	5
94.159.31.10	5
129.211.94.30	5
200.119.112.204	5
196.38.70.24	5
201.72.190.101	5
91.192.103.34	5
151.80.38.19	5
134.209.127.128	5
92.86.33.126	5
112.85.42.151	5
119.29.79.30	5
94.142.241.194	5
152.89.239.120	5
199.195.250.77	5
45.154.255.147	5
124.128.57.114	5
195.239.243.84	5
42.192.170.39	5
50.233.42.98	5
61.161.250.202	5
123.207.19.105	5
64.227.111.127	5
62.234.22.200	5
185.121.69.16	5
124.156.226.224	5
